LifeStage,PopGrpID,PopGrp,ID_Num,COMID,Reach,MWMT_Indx2047,MWMT_Indx2048,MWMT_Indx2049,MWMT_Indx2050,MWMT_Indx2051,MWMT_Indx2052,MWMT_Indx2053,MWMT_Indx2054,MWMT_Indx2055,MWMT_Indx2056,MWMT_Indx2057,MWMT_Indx2058,MWMT_Indx2059,MWMT_Indx2060,MWMT_Indx2061,MWMT_Indx2062,MWMT_Indx2063,MWMT_Indx2064,MWMT_Indx2065,MWMT_Indx2066,MWMT_Indx2067,MWMT_Indx2068,MWMT_Indx2069,MWMT_Indx2070,MWMT_Indx2071,MWMT_Indx2072,MWMT_Indx2073,MWMT_Indx2074,MWMT_Indx2075,MWMT_Indx2076,MWMT_Indx2077,MWMT_Indx2078,MWMT_Indx2079,MWMT_Indx2080
Spwn,17,Coquille,4639,23915949,Russel Cr,20.27801704,21.39914131,20.92331505,22.29212952,21.56861305,22.35079384,21.13189697,21.67942238,22.63107491,23.53058243,22.16828537,23.39369965,20.43445206,21.08626938,21.31440544,22.60500145,22.37034798,22.95046425,22.69625664,23.12645531,23.08082771,22.44856644,21.94666672,20.77991486,21.85541344,21.70549393,23.04171944,24.10417938,25.13405037,22.89831924,22.32472038,22.52939034,22.88906288,21.54306221
Spwn,17,Coquille,4638,23915949,Russel Cr,20.27801704,21.39914131,20.92331505,22.29212952,21.56861305,22.35079384,21.13189697,21.67942238,22.63107491,23.53058243,22.16828537,23.39369965,20.43445206,21.08626938,21.31440544,22.60500145,22.37034798,22.95046425,22.69625664,23.12645531,23.08082771,22.44856644,21.94666672,20.77991486,21.85541344,21.70549393,23.04171944,24.10417938,25.13405037,22.89831924,22.32472038,22.52939034,22.88906288,21.54306221
Spwn,17,Coquille,4646,23914539,Dement Cr,20.2292347,21.34766197,20.87298012,22.2385025,21.51672745,22.29702568,21.08106041,21.62726974,22.57663155,23.47397423,22.1149559,23.33742332,20.38529396,21.03554344,21.26313019,22.55062294,22.31653214,22.89525414,22.64165688,23.07082176,23.02530289,22.39456177,21.89387131,20.72992516,21.80283546,21.65327835,22.98628807,24.04619408,25.07358742,22.84323311,22.27101517,22.47519302,22.83399963,21.49123764
Spwn,17,Coquille,4645,23914539,Dement Cr,20.2292347,21.34766197,20.87298012,22.2385025,21.51672745,22.29702568,21.08106041,21.62726974,22.57663155,23.47397423,22.1149559,23.33742332,20.38529396,21.03554344,21.26313019,22.55062294,22.31653214,22.89525414,22.64165688,23.07082176,23.02530289,22.39456177,21.89387131,20.72992516,21.80283546,21.65327835,22.98628807,24.04619408,25.07358742,22.84323311,22.27101517,22.47519302,22.83399963,21.49123764
Spwn,17,Coquille,4641,23914539,Dement Cr,20.2292347,21.34766197,20.87298012,22.2385025,21.51672745,22.29702568,21.08106041,21.62726974,22.57663155,23.47397423,22.1149559,23.33742332,20.38529396,21.03554344,21.26313019,22.55062294,22.31653214,22.89525414,22.64165688,23.07082176,23.02530289,22.39456177,21.89387131,20.72992516,21.80283546,21.65327835,22.98628807,24.04619408,25.07358742,22.84323311,22.27101517,22.47519302,22.83399963,21.49123764
Spwn,17,Coquille,4649,23914541,Dement Cr,17.92644691,18.89390755,18.60935974,19.53129196,18.87683296,19.70771027,18.73456001,19.22967148,20.08900261,21.03369904,19.6508007,20.7206974,18.17115784,18.62643242,18.94512558,20.06624031,19.83291054,20.3052578,20.06624031,20.80606079,20.32233238,20.07762146,19.51421928,18.52399635,19.45730972,19.21829033,20.47029495,21.46620941,22.40521431,20.41110992,19.81356239,19.9205513,20.27509689,19.18972206
Spwn,17,Coquille,4642,23914541,Dement Cr,17.92644691,18.89390755,18.60935974,19.53129196,18.87683296,19.70771027,18.73456001,19.22967148,20.08900261,21.03369904,19.6508007,20.7206974,18.17115784,18.62643242,18.94512558,20.06624031,19.83291054,20.3052578,20.06624031,20.80606079,20.32233238,20.07762146,19.51421928,18.52399635,19.45730972,19.21829033,20.47029495,21.46620941,22.40521431,20.41110992,19.81356239,19.9205513,20.27509689,19.18972206
Spwn,17,Coquille,9073,23914551,Beaver Cr,26.12337685,27.73096848,26.49246597,29.34676361,28.32971573,28.83003616,27.13222313,28.0836544,28.73981476,30.4376297,28.10826111,30.04393387,26.27921486,27.04199982,27.22244453,28.83003616,28.47735023,29.32215691,29.06789589,28.64139175,29.46159172,28.21488762,28.38712883,26.67291069,27.34547424,27.48490906,29.41237831,30.22437668,31.55966377,28.52984428,28.3034687,29.01376152,29.11694336,27.728508
Spwn,17,Coquille,4655,23915969,Beaver Cr,20.04423523,21.27772713,20.32743454,22.51751137,21.73713875,22.12103271,20.8183136,21.54833984,22.0518055,23.35452461,21.56722069,23.05244446,20.16380882,20.74908829,20.88754082,22.12103271,21.85042,22.49863243,22.30353928,21.97628593,22.60561752,21.64903259,21.78119278,20.46588898,20.98194122,21.08892822,22.56785774,23.19089699,24.21545029,21.89069748,21.71700096,22.26200294,22.34117317,21.27583885
Spwn,17,Coquille,4653,23915969,Beaver Cr,20.04423523,21.27772713,20.32743454,22.51751137,21.73713875,22.12103271,20.8183136,21.54833984,22.0518055,23.35452461,21.56722069,23.05244446,20.16380882,20.74908829,20.88754082,22.12103271,21.85042,22.49863243,22.30353928,21.97628593,22.60561752,21.64903259,21.78119278,20.46588898,20.98194122,21.08892822,22.56785774,23.19089699,24.21545029,21.89069748,21.71700096,22.26200294,22.34117317,21.27583885
