TARGET_FID,ORIG_SEQ,len_km,StartXUTM,EndXUTM,StartYUTM,EndYUTM,MidXUTM,MidYUTM,POPULATION,SPAWNMILES,NTOSORDER,STRATA,ACRES,HECTARES,TYPE,Shape_Leng,Shape_Length
50,51,0.446137033,461693.7159,461496.2737,4734010.033,4734387.426,461626.3281,4734213.015,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,446.1369382
51,50,0.999516193,462129.3993,461693.7159,4733198.192,4734010.033,461883.3964,4733596.773,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,999.5161944
52,52,0.553378726,462711.767,462492.7737,4732742.782,4733193.939,462593.9026,4732964.919,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,553.3787505
53,54,0.72350378,462898.8355,463035.7671,4734019.084,4734689.782,462963.7974,4734350.781,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,723.5038171
54,53,0.999515528,462492.7737,462898.8355,4733193.939,4734019.084,462739.1426,4733562.244,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,999.5155619
55,55,0.276009988,483971.6724,483906.1616,4733498.902,4733757.495,483916.4863,4733626.435,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,276.0099811
56,58,0.528687499,483605.7302,483638.1886,4735700.571,4736214.203,483614.6657,4735957.042,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,528.6875263
57,57,0.999508535,483689.9373,483605.7302,4734710.77,4735700.571,483634.0697,4735203.468,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,999.5085655
58,56,0.999504552,483906.1616,483689.9373,4733757.495,4734710.77,483769.858,4734231.631,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,999.504509
59,59,0.45227709,479647.2056,479482.2726,4733523.143,4733916.085,479515.1989,4733702.482,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,452.2770669
60,60,0.018545035,413585.2342,413570.5441,4731859.312,4731848.072,413578.2361,4731853.168,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,18.54493953
61,61,0.442685482,413570.5441,413203.7354,4731848.072,4731626.812,413362.9255,4731766.615,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,442.6855079
62,62,0.556896446,413585.2342,413521.802,4731859.312,4732360.299,413589.053,4732101.087,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,556.8963887
63,65,0.356188093,413055.2007,412852.9671,4734109.067,4734311.862,412961.6695,4734169.662,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,356.1880906
64,64,0.999589747,413105.7828,413055.2007,4733162.909,4734109.067,413060.3612,4733649.956,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,999.589731
65,63,0.999585621,413521.802,413105.7828,4732360.299,4733162.909,413155.446,4732783.34,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,999.5856887
66,66,0.643347851,479482.2726,480096.0703,4733916.085,4733763.922,479798.4312,4733873.71,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,643.3478065
67,68,0.389156462,481008.0471,481388.4885,4733504.882,4733578.468,481197.1044,4733547.445,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,389.1565072
68,67,0.999503483,480096.0703,481008.0471,4733763.922,4733504.882,480566.1711,4733657.644,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,999.5034761
69,69,0.61040161,408124.5887,408614.5819,4731959.865,4732262.034,408395.7838,4732082.674,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,610.4016446
70,72,0.093030312,409759.0532,409795.6906,4733757.177,4733838.886,409767.828,4733802.913,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,93.03038979
71,71,0.999596041,409244.427,409759.0532,4732965.128,4733757.177,409530.6276,4733275.912,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,999.5960107
72,70,0.999594779,408614.5819,409244.427,4732262.034,4732965.128,408836.0698,4732644.294,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,999.5948813
73,73,0.13485776,456525.7665,456432.7665,4733447.782,4733357.782,456485.93,4733395.952,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,134.8577494
74,74,0.771628654,478518.3092,478388.4618,4734448.766,4733737.705,478528.49,4734096.005,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,771.6286711
75,76,0.927724734,478241.0885,478504.8661,4732819.574,4731989.932,478245.3048,4732382.885,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,927.7247999
76,75,0.999503127,478388.4618,478241.0885,4733737.705,4732819.574,478398.3443,4733272.893,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,999.5031476
