"","UTM_E_km","UTM_N_km","pred"
"583790",482.189,5092.943,96.4480735117052
"583791",483.189,5092.943,85.300088216717
"583792",484.189,5092.943,75.4406468149585
"583793",485.189,5092.943,66.7208124966973
"583794",486.189,5092.943,59.0088633669661
"583795",487.189,5092.943,52.1883026534431
"583796",488.189,5092.943,46.1560989051706
"583797",428.189,5091.943,31.9959359999857
"583798",429.189,5091.943,31.3612784890868
"583799",430.189,5091.943,35.921118349112
"583800",431.189,5091.943,44.4645745290206
"583801",452.189,5091.943,299.085323975125
"583802",453.189,5091.943,297.781056241744
"583803",454.189,5091.943,296.482476230843
"583804",455.189,5091.943,295.189559139086
"583805",456.189,5091.943,293.902280271308
"583806",457.189,5091.943,292.620615040028
"583807",458.189,5091.943,284.93002795413
"583808",459.189,5091.943,268.020875083084
"583809",460.189,5091.943,250.974595430243
"583810",461.189,5091.943,233.240143651476
"583811",462.189,5091.943,211.912400549503
"583812",463.189,5091.943,250.721292576174
"583813",464.189,5091.943,234.46073104109
"583814",465.189,5091.943,234.99207309001
"583815",466.189,5091.943,235.524619282463
"583816",467.189,5091.943,236.058372347315
"583817",468.189,5091.943,236.593335019617
"583818",469.189,5091.943,237.129510040619
"583819",470.189,5091.943,237.666900157783
"583820",471.189,5091.943,215.020836616038
"583821",472.189,5091.943,215.508123384192
"583822",473.189,5091.943,215.99651445646
"583823",474.189,5091.943,211.621864378023
"583824",475.189,5091.943,113.823740183054
"583825",476.189,5091.943,110.527037395496
"583826",477.189,5091.943,107.325817758044
"583827",478.189,5091.943,104.217315770577
"583828",479.189,5091.943,101.198846030784
"583829",480.189,5091.943,98.2678009142663
"583830",481.189,5091.943,95.4216483218437
"583831",482.189,5091.943,92.6579294920979
"583832",483.189,5091.943,89.9742568772754
"583833",484.189,5091.943,84.9964506771148
"583834",485.189,5091.943,75.1721053296707
"583835",486.189,5091.943,66.4833104756525
"583836",487.189,5091.943,58.7988131025167
"583837",488.189,5091.943,52.0025311244214
"583838",489.189,5091.943,50.2769070819735
"583839",425.189,5090.943,36.98101601007
"583840",426.189,5090.943,36.2474766139581
"583841",427.189,5090.943,35.5284873871953
"583842",428.189,5090.943,35.6944637568841
"583843",429.189,5090.943,39.4368135613055
"583844",430.189,5090.943,43.5715262305689
