"","x"
"794",35701
"795",42066
"796",42250
"797",35893
"798",35243
"799",3505
"800",40783
"801",42503
"802",3514
"803",3513
"804",3517
"805",205025
"806",36097
"807",40786
"808",42622
"809",35097
"810",3525
"811",35066
"812",37451
"813",43390
"814",3528
"815",40766
"816",3529
"817",40981
"818",39810
"819",37165
"820",39715
"821",3535
"822",41747
"823",3539
"824",42048
"825",3538
"826",42271
"827",3536
"828",3545
"829",3547
"830",42768
"831",3543
"832",3544
"833",35670
"834",36153
"835",3542
"836",205045
"837",39974
"838",3566
"839",42651
"840",3569
"841",41032
"842",41825
"843",42588
"844",3574
"845",42882
"846",35154
"847",35042
"848",35065
"849",41313
"850",36948
"851",3583
"852",3584
"853",36953
"854",3587
"855",41242
"856",40475
"857",42926
"858",36106
"859",37419
"860",39819
"861",40280
"862",35905
"863",39995
"864",3594
"865",3597
"866",37467
"867",3600
"868",3602
"869",3604
"870",3608
"871",3610
"872",36915
"873",3616
"874",35050
"875",3619
"876",37158
"877",3618
"878",3617
"879",35025
"880",42362
"881",3622
"882",3621
"883",3623
"884",3624
"885",3626
"886",3715
"887",3724
"888",3721
"889",3726
"890",3727
"891",42330
"892",3731
"893",40739
"894",3740
"895",3737
"896",42794
"897",35255
"898",40586
"899",36182
"900",42007
"901",40133
"902",3752
"903",3755
"904",42082
"905",39767
"906",3754
"907",35467
"908",37230
"909",42035
"910",42386
"911",35922
"912",3259
"913",35986
"914",1955
"915",3262
"916",41460
"917",3265
"918",3264
"919",41759
"920",205033
"921",205037
"922",41806
"923",37394
"924",3276
"925",40383
"926",42879
"927",37116
"928",3279
"929",3280
"930",42016
"931",3285
"932",42315
"933",205073
"934",3288
"935",36282
"936",42895
"937",3289
"938",3290
"939",35867
"940",3291
"941",41506
"942",37052
"943",36379
"944",3296
"945",42063
"946",3300
"947",35686
"948",3299
"949",3301
"950",36064
"951",35137
"952",35290
"953",3305
"954",3306
"955",39731
"956",41372
"957",3311
"958",43275
"959",40443
"960",42259
"961",205057
"962",40407
"963",35129
"964",41814
"965",35730
"966",36422
"967",3317
"968",35015
"969",42255
"970",41115
"971",37486
"972",3322
"973",35006
"974",3323
"975",3321
"976",3328
"977",36940
"978",37084
"979",35173
"980",3336
"981",42074
"982",37092
"983",42730
"984",36964
"985",40704
"986",3344
"987",205013
"988",41265
"989",35370
"990",3348
"991",35017
"992",35070
"993",40593
"994",36190
"995",40794
"996",35423
"997",43398
"998",3356
"999",35542
"1000",205005
"1001",36025
"1002",42127
"1003",35582
"1004",36105
"1005",3370
"1006",37128
"1007",3372
"1008",42579
"1009",3376
"1010",37289
"1011",41061
"1012",3378
"1013",35418
"1014",40002
"1015",40968
"1016",3382
"1017",37530
"1018",35354
"1019",42323
"1020",3389
"1021",3392
"1022",35526
"1023",40279
"1024",35502
"1025",42387
"1026",3395
"1027",35859
"1028",40081
"1029",3400
"1030",3402
"1031",3404
"1032",3405
"1033",3406
"1034",42705
"1035",37186
"1036",41762
"1037",3411
"1038",42929
"1039",42043
"1040",3417
"1041",42402
"1042",3420
"1043",3422
"1044",3424
"1045",37234
"1046",41809
"1047",40272
"1048",3429
"1049",41223
"1050",3428
"1051",36538
"1052",35590
"1053",37418
"1054",3226
"1055",39113
"1056",39553
"1057",42843
"1058",37915
"1059",39537
"1060",3234
"1061",3231
"1062",38887
"1063",35394
"1064",37863
"1065",3247
"1066",38951
"1067",36960
"1068",3246
"1069",36728
"1070",3244
"1071",36050
"1072",205161
"1073",3250
"1074",40743
"1075",42310
"1076",41093
"1077",2880
"1078",2886
"1079",35225
"1080",2889
"1081",2893
"1082",42028
"1083",2892
"1084",2894
"1085",2896
"1086",2897
"1087",2899
"1088",2901
"1089",2902
"1090",36125
"1091",40538
"1092",42283
"1093",2912
"1094",35045
"1095",2915
"1096",2914
"1097",41340
"1098",42299
"1099",40585
"1100",36491
"1101",2921
"1102",42018
"1103",2923
"1104",39710
"1105",37171
"1106",36104
"1107",42526
"1108",2934
"1109",35224
"1110",42781
"1111",2940
"1112",2946
"1113",2948
"1114",40053
"1115",205039
"1116",2949
"1117",2950
"1118",2957
"1119",2952
"1120",2965
"1121",2964
"1122",35048
"1123",37191
"1124",39776
"1125",2970
"1126",2976
"1127",35218
"1128",42773
"1129",2985
"1130",41326
"1131",40983
"1132",35032
"1133",37364
"1134",2989
"1135",40559
"1136",43313
"1137",2995
"1138",40243
"1139",3001
"1140",2998
"1141",3002
"1142",36924
"1143",3003
"1144",39729
"1145",42562
"1146",42790
"1147",3022
"1148",3029
"1149",35228
"1150",3030
"1151",3028
"1152",42017
"1153",36712
"1154",41749
"1155",36130
"1156",3034
"1157",42641
"1158",40745
"1159",3048
"1160",3051
"1161",3052
"1162",41998
"1163",3059
"1164",42514
"1165",3057
