"","x"
"1219",145
"1220",214
"1221",252
"1222",346
"1223",425
"1224",3574
"1225",2890
"1226",2986
"1227",3149
"1228",2167
"1229",2235
"1230",2259
"1231",2319
"1232",2346
"1233",2650
"1234",2860
"1235",5539
"1236",4193
"1237",4507
"1238",4669
"1239",5154
"1240",4003
"1241",6430
"1242",6912
"1243",7277
"1244",8037
"1245",8071
"1246",8274
"1247",1045
"1248",1075
"1249",1458
"1250",1504
"1251",1606
"1252",1752
"1253",133
"1254",270
"1255",278
"1256",318
"1257",386
"1258",392
"1259",107
"1260",3460
"1261",3300
"1262",3372
"1263",3375
"1264",3022
"1265",2018
"1266",2353
"1267",2607
"1268",2627
"1269",2781
"1270",5438
"1271",5571
"1272",5655
"1273",5727
"1274",3840
"1275",4539
"1276",5005
"1277",7240
"1278",7408
"1279",7725
"1280",7845
"1281",7941
"1282",8003
"1283",8107
"1284",1258
"1285",1541
"1286",534
"1287",638
"1288",174
"1289",243
"1290",381
"1291",396
"1292",3830
"1293",3740
"1294",3262
"1295",3229
"1296",2028
"1297",2145
"1298",2432
"1299",2643
"1300",2737
"1301",6086
"1302",5404
"1303",5676
"1304",4196
"1305",4356
"1306",4525
"1307",4896
"1308",4996
"1309",3989
"1310",4002
"1311",6474
"1312",6601
"1313",7386
"1314",8368
"1315",8392
"1316",8394
"1317",7483
"1318",7710
"1319",7718
"1320",7965
"1321",8227
"1322",1857
"1323",980
"1324",1539
"1325",1570
"1326",1598
"1327",610
"1328",701
"1329",800
"1330",807
"1331",137
"1332",154
"1333",239
"1334",245
"1335",365
"1336",377
"1337",3402
"1338",3190
"1339",2122
"1340",2172
"1341",2307
"1342",2533
"1343",2811
"1344",5480
"1345",5686
"1346",4204
"1347",4268
"1348",4832
"1349",4971
"1350",4989
"1351",4021
"1352",6732
"1353",6786
"1354",6963
"1355",7005
"1356",7225
"1357",7624
"1358",931
"1359",1114
"1360",1262
"1361",1705
"1362",605
"1363",655
"1364",195
"1365",240
"1366",368
"1367",391
"1368",3506
"1369",3559
"1370",3601
"1371",3293
"1372",2898
"1373",3187
"1374",3209
"1375",2045
"1376",2218
"1377",2373
"1378",2496
"1379",2682
"1380",4207
"1381",4547
"1382",4749
"1383",5137
"1384",5167
"1385",4049
"1386",6522
"1387",6578
"1388",6580
"1389",6582
"1390",6680
"1391",6870
"1392",6886
"1393",6938
"1394",7172
"1395",7883
"1396",8175
"1397",1110
"1398",1385
"1399",1462
"1400",1608
"1401",653
"1402",750
"1403",837
"1404",166
"1405",242
"1406",281
"1407",287
