"","test_years","n_years_ahead","mod","sp","st","survey_GRTS_type","survey_pop_type","rmse","AIC"
"33",2019,0,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","c(""Nestucca"", ""Necanicum"", ""Tillamook Bay"", ""NCDependent"", ""Siletz"", ""Yaquina"", ""Beaver"", ""Siuslaw"", ""MCDependent"", ""Tahkenitch"", ""Tenmile"", ""Coquille"", ""Floras"", ""Sixes"", ""Middle Umpqua"", ""North Umpqua"", ""South Umpqua"", ""Salmon"", ""Siltcoos"", ""MSDependent"")",290.83555298396,37652.0465687676
"34",2020,0,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","c(""Nestucca"", ""Necanicum"", ""Tillamook Bay"", ""NCDependent"", ""Siletz"", ""Yaquina"", ""Beaver"", ""Siuslaw"", ""MCDependent"", ""Tahkenitch"", ""Tenmile"", ""Coquille"", ""Floras"", ""Sixes"", ""Middle Umpqua"", ""North Umpqua"", ""South Umpqua"", ""Salmon"", ""Siltcoos"", ""MSDependent"")",296.156537211071,39149.6289867097
"35",2021,0,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","c(""Nestucca"", ""Necanicum"", ""Tillamook Bay"", ""NCDependent"", ""Siletz"", ""Yaquina"", ""Beaver"", ""Siuslaw"", ""MCDependent"", ""Tahkenitch"", ""Tenmile"", ""Coquille"", ""Floras"", ""Sixes"", ""Middle Umpqua"", ""North Umpqua"", ""South Umpqua"", ""Salmon"", ""Siltcoos"", ""MSDependent"")",305.217996981819,40529.9554174997
"36",2017,1,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","c(""Nestucca"", ""Necanicum"", ""Tillamook Bay"", ""NCDependent"", ""Siletz"", ""Yaquina"", ""Beaver"", ""Siuslaw"", ""MCDependent"", ""Tahkenitch"", ""Tenmile"", ""Coquille"", ""Floras"", ""Sixes"", ""Middle Umpqua"", ""North Umpqua"", ""South Umpqua"", ""Salmon"", ""Siltcoos"", ""MSDependent"")",362.380948783509,32193.3072691528
"37",2018,1,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","c(""Nestucca"", ""Necanicum"", ""Tillamook Bay"", ""NCDependent"", ""Siletz"", ""Yaquina"", ""Beaver"", ""Siuslaw"", ""MCDependent"", ""Tahkenitch"", ""Tenmile"", ""Coquille"", ""Floras"", ""Sixes"", ""Middle Umpqua"", ""North Umpqua"", ""South Umpqua"", ""Salmon"", ""Siltcoos"", ""MSDependent"")",326.812122314342,34048.3697564859
"38",2019,1,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","c(""Nestucca"", ""Necanicum"", ""Tillamook Bay"", ""NCDependent"", ""Siletz"", ""Yaquina"", ""Beaver"", ""Siuslaw"", ""MCDependent"", ""Tahkenitch"", ""Tenmile"", ""Coquille"", ""Floras"", ""Sixes"", ""Middle Umpqua"", ""North Umpqua"", ""South Umpqua"", ""Salmon"", ""Siltcoos"", ""MSDependent"")",356.444402314115,35829.6280432908
"39",2020,1,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","c(""Nestucca"", ""Necanicum"", ""Tillamook Bay"", ""NCDependent"", ""Siletz"", ""Yaquina"", ""Beaver"", ""Siuslaw"", ""MCDependent"", ""Tahkenitch"", ""Tenmile"", ""Coquille"", ""Floras"", ""Sixes"", ""Middle Umpqua"", ""North Umpqua"", ""South Umpqua"", ""Salmon"", ""Siltcoos"", ""MSDependent"")",334.580356452322,37669.5346607155
"40",2021,1,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","c(""Nestucca"", ""Necanicum"", ""Tillamook Bay"", ""NCDependent"", ""Siletz"", ""Yaquina"", ""Beaver"", ""Siuslaw"", ""MCDependent"", ""Tahkenitch"", ""Tenmile"", ""Coquille"", ""Floras"", ""Sixes"", ""Middle Umpqua"", ""North Umpqua"", ""South Umpqua"", ""Salmon"", ""Siltcoos"", ""MSDependent"")",397.104474743995,39167.5471295554
"41",2017,2,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","c(""Nestucca"", ""Necanicum"", ""Tillamook Bay"", ""NCDependent"", ""Siletz"", ""Yaquina"", ""Beaver"", ""Siuslaw"", ""MCDependent"", ""Tahkenitch"", ""Tenmile"", ""Coquille"", ""Floras"", ""Sixes"", ""Middle Umpqua"", ""North Umpqua"", ""South Umpqua"", ""Salmon"", ""Siltcoos"", ""MSDependent"")",367.878959740174,30554.9141828248
"42",2018,2,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","c(""Nestucca"", ""Necanicum"", ""Tillamook Bay"", ""NCDependent"", ""Siletz"", ""Yaquina"", ""Beaver"", ""Siuslaw"", ""MCDependent"", ""Tahkenitch"", ""Tenmile"", ""Coquille"", ""Floras"", ""Sixes"", ""Middle Umpqua"", ""North Umpqua"", ""South Umpqua"", ""Salmon"", ""Siltcoos"", ""MSDependent"")",318.176427634155,32192.4805025065
