"","yr","UTM_E_km","UTM_N_km","est"
"179",2002,439.345,5082.864,3.24637453017053
"180",2006,439.345,5082.864,2.49446794099413
"181",2011,439.345,5082.864,3.46158086887255
"182",2013,439.937,5083.692,2.11531532935731
"183",2019,439.295,5082.612,2.09194055539015
"184",2002,440.644,5084.394,3.21421486289272
"185",2006,440.644,5084.394,2.46070017848438
"186",2011,440.644,5084.394,3.39239344805623
"187",2012,440.721,5084.449,2.22956865830275
"188",1999,441.754,5081.945,2.47807509951689
"189",2001,441.754,5081.945,4.02699297339629
"190",2002,441.754,5081.945,3.65140009114478
"191",2003,441.754,5081.945,3.52553278762281
"192",2004,441.754,5081.945,3.50499150181698
"193",2005,441.754,5081.945,3.34009530514215
"194",2006,441.754,5081.945,2.96367067410671
"195",2007,441.785,5081.578,2.43538407717558
"196",2009,441.754,5081.945,4.30161876459322
"197",2010,441.754,5081.945,4.35138630005447
"198",2011,441.754,5081.945,3.85533326910182
"199",2012,441.754,5081.945,2.2972620146718
"200",2013,441.754,5081.945,2.37988225660535
"201",2015,441.754,5081.945,2.36044692877677
"202",2016,441.754,5081.945,2.0854306577433
"203",2017,441.754,5081.945,2.10302565522147
"204",2018,441.754,5081.945,1.9017376003242
"205",2019,441.754,5081.945,2.61390068436081
"206",2020,441.785,5081.578,2.45078442108237
"207",2004,441.553,5081.177,3.4413032727784
"208",2006,441.553,5081.177,2.92769536772441
"209",2010,441.553,5081.177,4.32753251063741
"210",2013,441.553,5081.177,2.36901015527549
"211",2016,441.553,5081.177,2.00956040707284
"212",2019,441.553,5081.177,2.52722806961569
"213",2000,441.307,5082.635,2.54381575981938
"214",2003,441.307,5082.635,3.55132922950465
"215",2006,441.307,5082.635,2.9586934951284
"216",2009,441.307,5082.635,4.34069234468573
"217",2012,441.307,5082.635,2.41132243370632
"218",2015,441.307,5082.635,2.38881032519309
"219",2018,441.307,5082.635,1.91450473315657
"220",1999,439.998,5081.509,1.9395335287864
"221",2000,440.946,5081.464,1.87482917280259
"222",2003,440.946,5081.464,2.93689462239407
"223",2006,440.946,5081.464,2.44353509732102
"224",2009,440.946,5081.464,3.73892526299986
"225",2012,440.946,5081.464,1.65431611801857
"226",2018,440.946,5081.464,1.35447579104534
"227",2013,439.665,5081.442,1.88354354497558
"228",2000,441.005,5080.709,2.46052424932502
"229",2013,441.005,5080.709,2.32173084485335
