"","UTM_E_km","UTM_N_km","pred"
"501003",478,5097,7.97418797139758
"501004",479,5097,8.46352322382287
"501005",480,5097,8.98288648538527
"501006",481,5097,9.53412042188141
"501007",482,5097,10.1191807741115
"501008",483,5097,10.7401432967154
"501009",484,5097,11.3992111228104
"501010",429,5096,10.3093443973269
"501011",430,5096,10.4119628780099
"501012",431,5096,10.5156028157489
"501013",458,5096,8.83094907132065
"501014",459,5096,8.2959471415227
"501015",460,5096,7.91239790010501
"501016",461,5096,7.68847196312277
"501017",462,5096,7.47088327382277
"501018",463,5096,7.25945248402977
"501019",464,5096,7.05400532123695
"501020",465,5096,6.85437244496126
"501021",466,5096,6.76132163962802
"501022",467,5096,6.74379607887249
"501023",468,5096,6.72631594492791
"501024",469,5096,6.70888112004651
"501025",470,5096,6.69149148678578
"501026",471,5096,6.6741469280076
"501027",472,5096,6.65684732687746
"501028",473,5096,6.63959256686373
"501029",474,5096,6.6223825317368
"501030",475,5096,6.79236276043842
"501031",476,5096,7.3151400017569
"501032",477,5096,7.87815302754089
"501033",478,5096,8.48449860295843
"501034",479,5096,9.13751183709535
"501035",480,5096,9.72698644064159
"501036",481,5096,10.3238819969467
"501037",482,5096,10.9574059897476
"501038",483,5096,11.6298061194099
"501039",484,5096,12.3434680162088
"501040",485,5096,13.1009237043843
"501041",429,5095,10.2679454012944
"501042",430,5095,10.3701517993161
"501043",431,5095,10.4733755525524
"501044",432,5095,10.5776267876846
"501045",458,5095,9.19986527136173
"501046",459,5095,8.64251343586715
"501047",460,5095,8.11892742838923
"501048",461,5095,7.70154002769956
"501049",462,5095,7.48358150378787
"501050",463,5095,7.27283590433622
"501051",464,5095,7.25398448233621
"501052",465,5095,7.23518192382166
"501053",466,5095,7.21642810213685
"501054",467,5095,7.19772289095438
"501055",468,5095,7.17906616427427
"501056",469,5095,7.16045779642315
"501057",470,5095,7.1418976620534
"501058",471,5095,7.12338563614231
"501059",472,5095,7.1049215939912
"501060",473,5095,7.08650541122467
"501061",474,5095,7.06813696378965
"501062",475,5095,7.21787718602374
"501063",476,5095,7.77340433564281
"501064",477,5095,8.3716878810844
"501065",478,5095,9.01601858749828
"501066",479,5095,9.70994049524755
"501067",480,5095,10.4572704133488
"501068",481,5095,11.1790636965594
"501069",482,5095,11.8650658293728
"501070",483,5095,12.5931644148946
"501071",484,5095,13.3659426977616
"501072",485,5095,14.1861424431615
"501073",486,5095,15.05667366443
"501074",487,5095,15.9806249475822
"501075",428,5094,10.1259199633369
"501076",429,5094,10.2267126502534
"501077",430,5094,10.3285086204047
"501078",431,5094,10.4313178604008
"501079",455,5094,11.5605838022935
"501080",456,5094,10.8602134803873
"501081",457,5094,10.2022734194606
"501082",458,5094,9.58419308362631
"501083",459,5094,9.00355766676625
"501084",460,5094,8.45809865801594
"501085",461,5094,7.99948665966601
"501086",462,5094,7.8941310972694
"501087",463,5094,7.7623725359661
"501088",464,5094,7.74225221944562
"501089",465,5094,7.72218405542555
"501090",466,5094,7.70216790872495
"501091",467,5094,7.68220364451328
"501092",468,5094,7.66229112830948
"501093",469,5094,7.64243022598105
"501094",470,5094,7.62262080374321
"501095",471,5094,7.6028627281579
"501096",472,5094,7.58315586613298
"501097",473,5094,7.56350008492127
"501098",474,5094,7.54389525211968
"501099",475,5094,7.67004839258015
"501100",476,5094,8.26037710158354
"501101",477,5094,8.89614072401077
"501102",478,5094,9.58083617831822
"501103",479,5094,10.3182295248571
"501104",480,5094,11.1123766804998
"501105",481,5094,11.9676457275771
"501106",482,5094,12.847911929801
"501107",483,5094,13.6363227686046
"501108",484,5094,14.4731143601826
"501109",485,5094,15.3612555846211
"501110",486,5094,16.3038975070378
"501111",428,5093,10.0852575405647
"501112",429,5093,10.1856454766178
"501113",430,5093,10.2870326670445
"501114",431,5093,10.3894290583516
"501115",453,5093,13.6469833359017
"501116",454,5093,12.8202134879882
"501117",455,5093,12.0435315140461
"501118",456,5093,11.3139029600188
"501119",457,5093,10.6284772069913
"501120",458,5093,9.98457633397866
"501121",459,5093,9.379684655434
"501122",460,5093,9.22207243238189
"501123",461,5093,9.44171534256809
"501124",462,5093,9.45150049283173
"501125",463,5093,8.96469319840679
"501126",464,5093,8.50295931344579
"501127",465,5093,8.24196643757239
"501128",466,5093,8.22060299840392
"501129",467,5093,8.1992949339493
"501130",468,5093,8.17804210067553
"501131",469,5093,8.15684435542161
"501132",470,5093,8.13570155539765
"501133",471,5093,8.11461355818387
"501134",472,5093,8.09358022172965
"501135",473,5093,8.07260140435254
"501136",474,5093,8.05167696473737
"501137",475,5093,8.1505463210756
"501138",476,5093,8.77785676830139
"501139",477,5093,9.45344844499287
"501140",478,5093,10.1810373375951
"501141",479,5093,10.9646254351137
"501142",480,5093,11.8085227414303
"501143",481,5093,12.7173709818051
"501144",482,5093,13.6961691339613
"501145",483,5093,14.7503009241812
"501146",484,5093,15.6719989019558
"501147",485,5093,16.6337095571604
"501148",486,5093,17.654435491151
"501149",487,5093,18.7377981706458
"501150",488,5093,19.887641293308
"501151",428,5092,10.0447584049438
"501152",429,5092,10.1447432154823
"501153",430,5092,10.2457232677116
"501154",431,5092,10.3477084681966
"501155",432,5092,10.5562970242942
"501156",452,5092,15.1339450347282
"501157",453,5092,14.2170911684398
"501158",454,5092,13.3557827009354
"501159",455,5092,12.5466545470694
"501160",456,5092,11.786545487332
"501161",457,5092,11.0724858171372
"501162",458,5092,10.4016857443493
"501163",459,5092,10.6315096913542
"501164",460,5092,10.8847212926948
