"","yr","UTM_E_km","UTM_N_km","est"
"74",2011,434.578,5057.7,5.8981765514427
"75",2012,434.578,5057.7,5.75424324808587
"76",2013,434.578,5057.7,5.77105516267973
"77",2014,434.578,5057.7,5.45886278983371
"78",2020,456.36,5091.119,6.1013194821991
"79",2019,456.36,5091.119,5.90483496123206
"80",2015,456.36,5091.119,5.75848867968176
"81",2016,456.36,5091.119,5.34001664551424
"82",2017,456.36,5091.119,5.86174458389277
"83",2018,456.36,5091.119,6.22837416389292
"84",1998,456.36,5091.119,5.13338092469695
"85",1999,456.36,5091.119,4.43782407867015
"86",2000,456.36,5091.119,6.03652004917434
"87",2001,456.36,5091.119,6.2989085484615
"88",2002,456.36,5091.119,6.06855352498589
"89",2003,456.36,5091.119,6.10210939562378
"90",2004,456.36,5091.119,6.23985005670713
"91",2005,456.36,5091.119,6.38610050495143
"92",2006,456.36,5091.119,6.89250778037126
"93",2007,456.36,5091.119,6.51691205733212
"94",2008,456.36,5091.119,5.12180491060383
"95",2009,456.36,5091.119,6.26064169530494
"96",2010,456.36,5091.119,6.16534285438227
"97",2011,456.36,5091.119,6.12607896069299
"98",2012,456.36,5091.119,5.77843620091297
"99",2013,456.36,5091.119,5.95377575482027
"100",2014,456.36,5091.119,5.45762853424104
"101",2020,485.772,5084.695,5.48054594032702
"102",2017,485.772,5084.695,5.44415233920732
"103",2008,485.772,5084.695,4.66437318913324
"104",2020,493.087,5075.947,5.69184311185908
"105",2019,493.087,5075.947,5.71388057516728
"106",2015,493.087,5075.947,5.56681854471066
"107",2016,493.087,5075.947,5.19326729124235
"108",2017,493.087,5075.947,5.76074255903438
"109",2018,493.087,5075.947,6.0135642412164
"110",2007,493.087,5075.947,6.14295913242953
"111",2008,493.087,5075.947,4.98458057458711
"112",2009,493.087,5075.947,5.99841682685789
"113",2010,493.087,5075.947,5.85332222555531
"114",2011,493.087,5075.947,5.91128685540239
"115",2012,493.087,5075.947,5.66587600652444
"116",2013,493.087,5075.947,5.79223139262423
"117",2014,493.087,5075.947,5.32576224103077
"118",2019,466.177,5068.762,4.85980053816144
"119",2020,466.177,5068.762,4.88070293578537
"120",2015,466.177,5068.762,4.75105718465914
"121",2016,466.177,5068.762,4.29615266320485
"122",2017,466.177,5068.762,4.81582843648574
"123",2018,466.177,5068.762,5.18651306084561
"124",1998,466.177,5068.762,4.14880959308734
"125",1999,466.177,5068.762,3.36404936784085
"126",2000,466.177,5068.762,5.0469772158386
"127",2001,466.177,5068.762,5.27645410949566
"128",2002,466.177,5068.762,5.15941785903826
"129",2004,466.177,5068.762,5.21753255377108
"130",2005,466.177,5068.762,5.32887807401875
"131",2006,466.177,5068.762,5.88695237773223
"132",2007,466.177,5068.762,5.48720600812255
"133",2009,466.177,5068.762,5.28270278294009
"134",2010,466.177,5068.762,5.08698015504352
"135",2011,466.177,5068.762,5.0474627577259
"136",2012,466.177,5068.762,4.81795082442118
"137",2013,466.177,5068.762,4.9091834136969
"138",2014,466.177,5068.762,4.49905560141585
"139",2019,473.579,5083.255,5.29025182414996
"140",2020,473.579,5083.255,5.3866425524298
"141",2016,473.579,5083.255,4.68296314562528
"142",2017,473.579,5083.255,5.28093065971385
"143",2018,473.579,5083.255,5.68714605399791
"144",2007,483.298,5076.699,5.82954190216294
"145",2000,437.542,5027.262,5.92373371593906
"146",2002,437.542,5027.262,6.16263376285714
"147",2019,457.27,5022.363,6.87137684135515
"148",2015,457.27,5022.363,6.76951864376465
"149",2016,457.27,5022.363,6.53351474145788
"150",2017,457.27,5022.363,6.85050808896218
"151",2018,457.27,5022.363,6.83714241742921
"152",1998,457.27,5022.363,5.85280819267349
"153",1999,457.27,5022.363,5.22967152718043
"154",2000,457.27,5022.363,6.82897891691154
"155",2001,457.27,5022.363,7.17889523617138
"156",2002,457.27,5022.363,7.19440592129645
"157",2003,457.27,5022.363,7.18463526126349
"158",2004,457.27,5022.363,7.02214996447776
"159",2005,457.27,5022.363,6.94457610150623
"160",2006,457.27,5022.363,7.65092142339877
"161",2007,457.27,5022.363,7.60354776470118
